<html><body><pre>
Object   H     G    Epoch    M         Peri.      Node       Incl.        e           n         a                     NObs NOpp   Arc    r.m.s.       Orbit ID
A10a1Gd 15.3  0.15  K18BI 154.60566  172.82455   67.84072   31.36234  0.5377807  0.50143309   1.5691365                  4   1    0 days 0.23         NEOCPV0142
A10a1Gd 15.3  0.15  K18BI 144.92095  175.99656   68.00132   31.06605  0.5491484  0.49748596   1.5774254                  4   1    0 days 0.23         NEOCPV0143
A10a1Gd 15.3  0.15  K18BI 135.45201  178.98030   68.16605   30.76760  0.5621094  0.49114894   1.5909648                  4   1    0 days 0.23         NEOCPV0144
A10a1Gd 15.3  0.15  K18BI 126.21487  181.77174   68.33558   30.46607  0.5764839  0.48246298   1.6100031                  4   1    0 days 0.23         NEOCPV0145
A10a1Gd 15.3  0.15  K18BI 117.21631  184.37383   68.50958   30.16243  0.5921000  0.47146235   1.6349509                  4   1    0 days 0.23         NEOCPV0146
A10a1Gd 15.3  0.15  K18BI 108.46296  186.79140   68.68824   29.85666  0.6087965  0.45820385   1.6663398                  4   1    0 days 0.23         NEOCPV0147
A10a1Gd 15.3  0.15  K18BI  99.96373  189.02922   68.87260   29.54720  0.6264245  0.44277659   1.7048243                  4   1    0 days 0.23         NEOCPV0148
A10a1Gd 15.4  0.15  K18BI  91.71733  191.09857   69.06197   29.23569  0.6448482  0.42524489   1.7513649                  4   1    0 days 0.23         NEOCPV0149
A10a1Gd 15.4  0.15  K18BI  83.73028  193.00677   69.25760   28.92040  0.6639450  0.40572365   1.8071013                  4   1    0 days 0.23         NEOCPV0150
A10a1Gd 15.4  0.15  K18BI  76.00416  194.76483   69.45921   28.60220  0.6836049  0.38432039   1.8735866                  4   1    0 days 0.23         NEOCPV0151
A10a1Gd 15.1  0.15  K18BI 309.87530  119.20557   64.47923   39.31138  0.6865988  0.24857279   2.5051496                  4   1    0 days 0.23         NEOCPV0152
A10a1Gd 15.1  0.15  K18BI 302.16009  121.88182   64.52687   39.19027  0.6635547  0.27610112   2.3357370                  4   1    0 days 0.23         NEOCPV0153
A10a1Gd 15.1  0.15  K18BI 294.08430  124.71607   64.57390   39.07193  0.6424015  0.30261554   2.1972285                  4   1    0 days 0.23         NEOCPV0154
A10a1Gd 15.1  0.15  K18BI 285.67586  127.70222   64.61955   38.95850  0.6232424  0.32789009   2.0828142                  4   1    0 days 0.23         NEOCPV0155
A10a1Gd 15.1  0.15  K18BI 276.95056  130.83725   64.66469   38.84746  0.6061763  0.35178654   1.9873906                  4   1    0 days 0.23         NEOCPV0156
A10a1Gd 15.1  0.15  K18BI 267.93772  134.10826   64.70896   38.73975  0.5912932  0.37413789   1.9074284                  4   1    0 days 0.23         NEOCPV0157
A10a1Gd 15.1  0.15  K18BI 258.66770  137.49875   64.75260   38.63468  0.5786698  0.39480615   1.8402639                  4   1    0 days 0.23         NEOCPV0158
A10a1Gd 15.1  0.15  K18BI 249.17355  140.98814   64.79575   38.53177  0.5683648  0.41367293   1.7838759                  4   1    0 days 0.23         NEOCPV0159
A10a1Gd 15.1  0.15  K18BI 239.49015  144.55196   64.83896   38.42946  0.5604141  0.43063934   1.7367084                  4   1    0 days 0.23         NEOCPV0160
A10a1Gd 15.1  0.15  K18BI 229.65825  148.16137   64.88246   38.32713  0.5548278  0.44560783   1.6975953                  4   1    0 days 0.23         NEOCPV0161
A10a1Gd 15.1  0.15  K18BI 219.71872  151.78595   64.92672   38.22343  0.5515874  0.45849901   1.6656245                  4   1    0 days 0.23         NEOCPV0162
A10a1Gd 15.1  0.15  K18BI 209.71294  155.39444   64.97243   38.11650  0.5506455  0.46924458   1.6400983                  4   1    0 days 0.23         NEOCPV0163
A10a1Gd 15.1  0.15  K18BI 199.68166  158.95652   65.02016   38.00485  0.5519266  0.47778619   1.6204924                  4   1    0 days 0.23         NEOCPV0164
A10a1Gd 15.1  0.15  K18BI 189.66453  162.44358   65.07072   37.88636  0.5553300  0.48407308   1.6064311                  4   1    0 days 0.23         NEOCPV0165
A10a1Gd 15.1  0.15  K18BI 174.88314  167.31154   65.34150   37.18658  0.5607342  0.49033997   1.5927142                  4   1    0 days 0.23         NEOCPV0166
A10a1Gd 15.1  0.15  K18BI 165.03429  170.51242   65.45439   36.90993  0.5680017  0.49118393   1.5908893                  4   1    0 days 0.23         NEOCPV0167
